EMPRESA (SIGLA),MÊS,AEROPORTO DE ORIGEM (UF),AEROPORTO DE DESTINO (REGIÃO),ORDER
AZU,3,MT,CENTRO-OESTE,11844
AZU,3,MT,CENTRO-OESTE,1428
AZU,3,MT,SUDESTE,4560
AZU,3,AC,CENTRO-OESTE,4042
AZU,3,AC,NORTE,2992
AZU,3,MS,CENTRO-OESTE,3348
AZU,3,MS,SUDESTE,979
AZU,3,MS,SUDESTE,
AZU,3,SP,SUDESTE,898
AZU,3,SP,SUDESTE,19756
AZU,3,SP,NORDESTE,2183
AZU,3,SP,NORDESTE,5772
AZU,3,MS,SUDESTE,22540
AZU,3,AM,,2752
AZU,3,AM,,5504
AZU,3,AM,NORTE,1299
AZU,3,AM,NORTE,40269
AZU,3,AM,CENTRO-OESTE,1948
AZU,3,AM,NORTE,1316
AZU,3,AM,NORTE,1316
AZU,3,AM,NORTE,21056
AZU,3,AM,SUDESTE,7617
AZU,3,AM,NORTE,0
AZU,3,AM,SUDESTE,5240
AZU,3,AM,SUDESTE,47160
AZU,3,AM,SUDESTE,256760
AZU,3,AM,NORTE,31962
AZU,3,AM,NORTE,8064
AZU,3,AM,NORDESTE,76599
AZU,3,AM,NORTE,15314
AZU,3,AM,NORTE,8840
AZU,3,AM,NORTE,1105
AZU,3,AM,NORTE,19890
AZU,3,PR,SUL,533
AZU,3,PR,SUL,22386
AZU,3,PR,SUDESTE,24769
AZU,3,PR,SUL,13501
AZU,3,SC,SUDESTE,7063
AZU,3,SC,SUL,5740
AZU,3,SC,SUL,0
AZU,3,SC,SUDESTE,1076
AZU,3,SC,SUDESTE,62408
AZU,3,SC,SUL,6897
AZU,3,SC,SUDESTE,4542
AZU,3,SC,NORDESTE,
AZU,3,PE,NORDESTE,36234
AZU,3,CE,NORTE,1136
AZU,3,CE,NORTE,39760
AZU,3,CE,SUDESTE,55740
AZU,3,CE,NORTE,4780
AZU,3,CE,NORTE,14340
AZU,3,CE,NORDESTE,0
AZU,3,CE,SUDESTE,2330
AZU,3,CE,SUDESTE,90870
AZU,3,CE,NORDESTE,1254
AZU,3,CE,NORDESTE,63954
AZU,3,RJ,SUDESTE,0
AZU,3,RJ,SUDESTE,1194
AZU,3,RJ,SUDESTE,1592
AZU,3,RJ,SUDESTE,30646
AZU,3,RJ,SUDESTE,28
AZU,3,GO,SUDESTE,45290
AZU,3,GO,CENTRO-OESTE,2980
AZU,3,GO,CENTRO-OESTE,0
AZU,3,GO,SUDESTE,1484
AZU,3,GO,SUDESTE,88298
AZU,3,GO,NORTE,2844
AZU,3,GO,NORDESTE,1081
AZU,3,GO,NORDESTE,10902
AZU,3,GO,SUDESTE,8487
AZU,3,SP,SUDESTE,48209
AZU,3,SP,SUL,21540
AZU,3,SP,CENTRO-OESTE,37240
AZU,3,SP,SUDESTE,0
AZU,3,SP,NORDESTE,1960
AZU,3,SP,NORDESTE,7840
AZU,3,SP,SUDESTE,166
AZU,3,SP,SUL,2598
AZU,3,SP,SUL,101322
AZU,3,SP,NORDESTE,302544
AZU,3,SP,SUDESTE,8232
AZU,3,MG,SUDESTE,10080
AZU,3,PA,NORTE,14040
AZU,3,BA,SUDESTE,23219
AZU,3,BA,SUDESTE,11223
AZU,3,BA,NORDESTE,4500
AZU,3,MA,NORTE,8075
AZU,3,MA,NORDESTE,
AZU,3,MA,NORDESTE,13580
AZU,3,SC,SUDESTE,9226
AZU,3,CE,SUDESTE,32300
AZU,3,CE,SUDESTE,7053
AZU,3,PB,SUDESTE,6780
AZU,3,PB,SUDESTE,8772
AZU,3,PB,NORDESTE,14279
AZU,3,CE,SUDESTE,1960
AZU,3,CE,SUDESTE,7840
AZU,3,CE,SUDESTE,1947
AZU,3,CE,SUDESTE,27258
AZU,3,CE,NORDESTE,834
AZU,3,CE,NORDESTE,490
AZU,3,CE,NORDESTE,12740
AZU,3,SC,SUDESTE,395
AZU,3,SC,SUDESTE,20145
AZU,3,PB,NORDESTE,9867
AZU,3,SP,,671579
AZU,3,SP,,286523
AZU,3,SP,,7928
AZU,3,SP,,
AZU,3,SP,SUDESTE,220
AZU,3,SP,SUDESTE,7700
AZU,3,SP,NORDESTE,17110
AZU,3,SP,SUDESTE,14689
AZU,3,SP,NORTE,7227
AZU,3,SP,NORTE,130086
AZU,3,SP,SUDESTE,962
AZU,3,SP,CENTRO-OESTE,144438
AZU,3,SP,NORTE,6456
AZU,3,SP,NORTE,6456
AZU,3,SP,SUL,29412
AZU,3,SP,SUDESTE,518
AZU,3,SP,SUDESTE,1996
AZU,3,SP,SUDESTE,1497
AZU,3,SP,SUDESTE,106287
AZU,3,SP,CENTRO-OESTE,70380
AZU,3,SP,SUL,43260
AZU,3,SP,CENTRO-OESTE,6677
AZU,3,SP,CENTRO-OESTE,
AZU,3,SP,SUL,698
AZU,3,SP,SUL,57934
AZU,3,SP,SUL,13566
AZU,3,SP,CENTRO-OESTE,138417
AZU,3,SP,CENTRO-OESTE,12727
AZU,3,SP,SUDESTE,20654
AZU,3,SP,CENTRO-OESTE,22540
AZU,3,SP,NORTE,2620
AZU,3,SP,NORTE,34060
AZU,3,SP,NORTE,251520
AZU,3,SP,SUL,24769
AZU,3,SP,SUL,62946
AZU,3,SP,NORDESTE,9320
AZU,3,SP,NORDESTE,100190
AZU,3,SP,SUDESTE,398
AZU,3,SP,SUDESTE,31840
AZU,3,SP,CENTRO-OESTE,89782
AZU,3,SP,SUDESTE,166
AZU,3,SP,NORDESTE,9976
AZU,3,SP,SUL,9226
AZU,3,SP,NORDESTE,7053
AZU,3,SP,NORDESTE,8772
AZU,3,SP,NORDESTE,1947
AZU,3,SP,NORDESTE,31152
AZU,3,SP,SUL,20145
AZU,3,SP,SUDESTE,0
AZU,3,SP,SUL,38223
AZU,3,SP,SUL,43086
AZU,3,SP,SUDESTE,781
AZU,3,SP,SUDESTE,8127
AZU,3,SP,NORDESTE,38520
AZU,3,SP,NORTE,
AZU,3,SP,SUL,457
AZU,3,SP,SUL,47985
AZU,3,SP,SUL,874
AZU,3,SP,SUL,191406
AZU,3,SP,NORDESTE,11555
AZU,3,SP,NORTE,39760
AZU,3,SP,NORDESTE,1670
AZU,3,SP,NORDESTE,8350
AZU,3,SP,NORDESTE,4460
AZU,3,SP,NORDESTE,39025
AZU,3,SP,NORTE,71760
AZU,3,SP,NORTE,10588
AZU,3,SP,CENTRO-OESTE,16005
AZU,3,SP,NORDESTE,6318
AZU,3,SP,NORDESTE,252720
AZU,3,SP,SUDESTE,407
AZU,3,SP,SUDESTE,3663
AZU,3,SP,SUDESTE,94831
AZU,3,SP,SUDESTE,21364
AZU,3,SP,NORDESTE,29835
AZU,3,SP,CENTRO-OESTE,1526
AZU,3,SP,CENTRO-OESTE,33572
AZU,3,SP,SUDESTE,168
AZU,3,SP,SUDESTE,338
AZU,3,SP,SUDESTE,
AZU,3,SP,SUDESTE,28392
AZU,3,SP,NORDESTE,158922
AZU,3,SP,NORDESTE,67584
AZU,3,SP,CENTRO-OESTE,9576
AZU,3,SP,SUDESTE,472
AZU,3,SP,SUDESTE,35872
AZU,3,SP,NORDESTE,21147
AZU,3,SP,SUDESTE,102410
AZU,3,SP,SUDESTE,11880
AZU,3,SP,CENTRO-OESTE,13980
AZU,3,SP,,5044
AZU,3,PR,SUL,4410
AZU,3,PR,SUDESTE,822
AZU,3,PR,SUDESTE,37812
AZU,3,PA,NORTE,12572
AZU,3,PA,SUDESTE,21853
AZU,3,RJ,SUDESTE,935
AZU,3,RJ,SUDESTE,556
AZU,3,RJ,SUDESTE,
AZU,3,PR,SUL,2569
AZU,3,PR,SUDESTE,501
AZU,3,PR,SUDESTE,42585
AZU,3,PR,SUL,0
AZU,3,MG,SUDESTE,650
AZU,3,MG,SUDESTE,22100
AZU,3,SP,SUDESTE,8127
AZU,3,AL,SUDESTE,11416
AZU,3,AL,CENTRO-OESTE,2308
AZU,3,AL,SUDESTE,2183
AZU,3,AL,SUDESTE,40446
AZU,3,AL,SUL,2782
AZU,3,AL,NORDESTE,543
AZU,3,AL,NORDESTE,24616
AZU,3,AL,SUDESTE,3642
AZU,3,AL,SUDESTE,3850
AZU,3,AL,SUDESTE,1697
AZU,3,AP,NORTE,16121
AZU,3,AP,SUDESTE,
AZU,3,RN,NORDESTE,5922
AZU,3,SC,SUDESTE,48442
AZU,3,SC,SUL,11050
AZU,3,RS,SUL,6264
AZU,3,RS,NORTE,
AZU,3,RS,SUDESTE,5448
AZU,3,RS,SUDESTE,36774
AZU,3,RS,SUL,
AZU,3,RS,SUL,534
AZU,3,RS,SUL,40584
AZU,3,RS,SUL,89
AZU,3,RS,SUL,13501
AZU,3,RS,SUL,6897
AZU,3,RS,SUDESTE,866
AZU,3,RS,SUDESTE,102188
AZU,3,RS,SUDESTE,1748
AZU,3,RS,SUDESTE,874
AZU,3,RS,SUDESTE,190532
AZU,3,RS,NORDESTE,2782
AZU,3,RS,SUL,11050
AZU,3,RS,SUL,2088
AZU,3,RS,SUL,0
AZU,3,RS,SUL,5083
AZU,3,RS,NORDESTE,1946
AZU,3,RS,NORDESTE,23704
AZU,3,RS,SUDESTE,16800
AZU,3,RS,SUL,1715
AZU,3,RS,SUL,10188
AZU,3,PI,SUDESTE,9244
AZU,3,PI,NORDESTE,1350
AZU,3,TO,CENTRO-OESTE,2844
AZU,3,TO,SUDESTE,39760
AZU,3,TO,NORDESTE,5976
AZU,3,RS,SUL,1547
AZU,3,RS,SUL,4128
AZU,3,PE,SUDESTE,18370
AZU,3,PE,NORDESTE,1270
AZU,3,PE,NORDESTE,24130
AZU,3,BA,SUDESTE,1226
AZU,3,BA,SUDESTE,24453
AZU,3,BA,SUDESTE,5772
AZU,3,BA,CENTRO-OESTE,1081
AZU,3,BA,SUDESTE,4460
AZU,3,BA,SUDESTE,39025
AZU,3,BA,SUL,1946
AZU,3,BA,SUDESTE,837
AZU,3,BA,SUDESTE,1054
AZU,3,BA,SUDESTE,2384
AZU,3,BA,NORDESTE,12431
AZU,3,BA,SUDESTE,2012
AZU,3,RO,NORTE,
AZU,3,RO,CENTRO-OESTE,35495
AZU,3,RO,NORTE,31201
AZU,3,RO,SUDESTE,74152
AZU,3,AC,NORTE,2368
AZU,3,AC,NORTE,4608
AZU,3,AC,SUDESTE,5294
AZU,3,AC,NORTE,1668
AZU,3,MT,SUDESTE,17072
AZU,3,PE,NORDESTE,36828
AZU,3,PE,NORTE,99002
AZU,3,PE,CENTRO-OESTE,76084
AZU,3,PE,SUDESTE,184920
AZU,3,PE,CENTRO-OESTE,2451
AZU,3,PE,NORTE,73762
AZU,3,PE,NORDESTE,36234
AZU,3,PE,NORDESTE,65208
AZU,3,PE,CENTRO-OESTE,10902
AZU,3,PE,SUDESTE,300443
AZU,3,PE,NORDESTE,
AZU,3,PE,NORDESTE,14279
AZU,3,PE,NORDESTE,980
AZU,3,PE,NORDESTE,12250
AZU,3,PE,NORDESTE,9867
AZU,3,PE,SUDESTE,8424
AZU,3,PE,SUDESTE,252720
AZU,3,PE,NORDESTE,543
AZU,3,PE,NORDESTE,24435
AZU,3,PE,NORDESTE,5922
AZU,3,PE,SUL,20741
AZU,3,PE,NORTE,4482
AZU,3,PE,NORDESTE,1270
AZU,3,PE,NORDESTE,24130
AZU,3,PE,NORDESTE,0
AZU,3,PE,SUDESTE,182770
AZU,3,PE,SUDESTE,1999
AZU,3,PE,NORDESTE,267
AZU,3,PE,NORDESTE,33375
AZU,3,PE,NORDESTE,67256
AZU,3,PE,NORTE,
AZU,3,PE,SUDESTE,244835
AZU,3,PE,SUDESTE,2100
AZU,3,PE,NORDESTE,66198
AZU,3,PE,NORDESTE,53409
AZU,3,PE,SUDESTE,1869
AZU,3,RJ,CENTRO-OESTE,17632
AZU,3,RJ,SUDESTE,1125
AZU,3,RJ,SUDESTE,55500
AZU,3,RJ,CENTRO-OESTE,1219
AZU,3,RJ,SUDESTE,
AZU,3,RJ,SUL,9464
AZU,3,RJ,CENTRO-OESTE,9480
AZU,3,RJ,SUL,4542
AZU,3,RJ,SUDESTE,14
AZU,3,RJ,SUDESTE,14
AZU,3,RJ,CENTRO-OESTE,7544
AZU,3,RJ,SUDESTE,8232
AZU,3,RJ,SUDESTE,4070
AZU,3,RJ,SUDESTE,94831
AZU,3,RJ,SUDESTE,1884
AZU,3,RJ,NORDESTE,1684
AZU,3,RJ,SUL,16800
AZU,3,RJ,NORDESTE,837
AZU,3,RJ,NORDESTE,179040
AZU,3,RJ,SUDESTE,0
AZU,3,RJ,SUDESTE,4120
AZU,3,RJ,SUDESTE,76494
AZU,3,RJ,SUDESTE,685
AZU,3,RJ,NORDESTE,15912
AZU,3,RJ,SUDESTE,10868
AZU,3,SP,SUDESTE,2155
AZU,3,SP,SUDESTE,436
AZU,3,SP,SUDESTE,20928
AZU,3,SP,NORDESTE,3642
AZU,3,SP,NORDESTE,1054
AZU,3,SP,NORDESTE,1999
AZU,3,SP,SUDESTE,4635
AZU,3,RN,SUDESTE,7200
AZU,3,RN,NORDESTE,415
AZU,3,RN,SUDESTE,27540
AZU,3,RN,NORDESTE,267
AZU,3,RN,NORDESTE,33375
AZU,3,RN,SUDESTE,2256
AZU,3,RN,SUDESTE,2017
AZU,3,MT,CENTRO-OESTE,11844
AZU,3,MT,SUDESTE,33572
AZU,3,MT,CENTRO-OESTE,0
AZU,3,MT,NORDESTE,1878
AZU,3,MA,NORTE,490
AZU,3,MA,NORTE,11760
AZU,3,MA,SUDESTE,92855
AZU,3,MA,NORDESTE,647
AZU,3,MA,NORDESTE,12610
AZU,3,MA,NORDESTE,67256
AZU,3,RS,SUL,5635
AZU,3,PA,NORTE,41180
AZU,3,PA,NORTE,589
AZU,3,PA,NORTE,15903
AZU,3,PA,SUDESTE,4866
AZU,3,PA,NORDESTE,
AZU,3,PA,NORTE,0
AZU,3,MT,CENTRO-OESTE,1428
AZU,3,SP,SUDESTE,524
AZU,3,SP,SUDESTE,70216
AZU,3,SP,SUDESTE,360
AZU,3,SP,SUDESTE,84
AZU,3,SP,NORDESTE,244835
AZU,3,SP,SUDESTE,76494
AZU,3,SP,SUDESTE,0
AZU,3,SP,NORDESTE,84360
AZU,3,SP,SUDESTE,756
AZU,3,SP,SUDESTE,153
AZU,3,SP,CENTRO-OESTE,5472
AZU,3,SP,SUDESTE,673
AZU,3,SP,SUDESTE,338
AZU,3,SP,SUDESTE,338
AZU,3,SP,SUDESTE,27716
AZU,3,SP,NORDESTE,3850
AZU,3,SP,NORDESTE,2384
AZU,3,SP,NORDESTE,2100
AZU,3,SP,NORDESTE,2256
AZU,3,SP,SUDESTE,421
AZU,3,BA,SUDESTE,105490
AZU,3,BA,SUL,
AZU,3,BA,NORDESTE,4500
AZU,3,BA,SUDESTE,2916
AZU,3,BA,SUDESTE,156006
AZU,3,BA,SUDESTE,726
AZU,3,BA,NORDESTE,463
AZU,3,BA,NORDESTE,12431
AZU,3,BA,NORDESTE,66198
AZU,3,BA,SUDESTE,15912
AZU,3,BA,SUDESTE,85840
AZU,3,BA,NORDESTE,0
AZU,3,BA,NORDESTE,9639
AZU,3,PI,SUDESTE,71680
AZU,3,PI,NORDESTE,1080
AZU,3,PI,NORDESTE,54346
AZU,3,AM,NORTE,8320
AZU,3,AM,NORTE,586
AZU,3,MS,SUDESTE,9576
AZU,3,AM,NORTE,1105
AZU,3,AM,NORTE,20995
AZU,3,RS,SUL,3900
AZU,3,RS,SUL,3396
AZU,3,MG,SUDESTE,375
AZU,3,MG,SUDESTE,454
AZU,3,MG,SUDESTE,39498
AZU,3,MG,SUDESTE,35872
AZU,3,MG,NORDESTE,1697
AZU,3,MG,NORDESTE,2012
AZU,3,MG,NORDESTE,1869
AZU,3,MG,NORDESTE,2017
AZU,3,MG,SUDESTE,0
AZU,3,MG,SUDESTE,12540
AZU,3,BA,SUDESTE,16659
AZU,3,BA,SUDESTE,22260
AZU,3,BA,NORDESTE,357
AZU,3,BA,NORDESTE,9282
AZU,3,ES,SUDESTE,36363
AZU,3,ES,SUDESTE,102410
AZU,3,ES,SUDESTE,10868
AZU,3,ES,SUDESTE,0
AZU,3,MG,SUDESTE,11880
AZU,3,BA,SUDESTE,22842
AZU,3,BA,SUDESTE,9180
AZU,3,GO,SUDESTE,699
AZU,3,GO,SUDESTE,13281
AZU,3,,SUDESTE,5210
AZU,4,,SUDESTE,77216
AZU,4,,SUDESTE,9644
AZU,4, FLORIDA,SP,414504
AZU,4, FLORIDA,SP,369724
AZU,4, NEW MEXICO, GEORGIA,0
AZU,4,,SUDESTE,7928
AZU,4,,SUDESTE,39640
AZU,4,,SUDESTE,7350
AZU,4,,NORTE,3344
AZU,4,,NORTE,3344
AZU,4,,NORTE,11008
AZU,4,,SUDESTE,
AZU,4, BUENOS AIRES PROVINCE,RJ,7072
AZU,4, BUENOS AIRES PROVINCE,SP,6504
AZU,4, BUENOS AIRES PROVINCE,SP,6272
AZU,4, BUENOS AIRES PROVINCE,RS,7361
AZU,4, BUENOS AIRES PROVINCE,RS,3721
AZU,4,SP,SUDESTE,5720
AZU,4,SE,NORDESTE,476
AZU,4,SE,NORDESTE,39204
AZU,4,SE,NORDESTE,506
AZU,4,MT,CENTRO-OESTE,7716
AZU,4,SP,SUDESTE,10322
AZU,4,PA,NORTE,0
AZU,4,PA,NORTE,1437
AZU,4,PA,SUDESTE,64697
AZU,4,PA,NORTE,4968
AZU,4,PA,NORTE,1299
AZU,4,PA,NORTE,1299
AZU,4,PA,NORTE,54558
AZU,4,PA,NORDESTE,31808
AZU,4,PA,NORTE,8892
AZU,4,PA,NORDESTE,4275
AZU,4,PA,NORDESTE,1631
AZU,4,PA,SUDESTE,2409
AZU,4,PA,SUDESTE,105996
AZU,4,PA,NORTE,13021
AZU,4,PA,NORTE,329
AZU,4,PA,NORTE,18424
AZU,4,PA,NORTE,
AZU,4,PA,NORDESTE,92290
AZU,4,PA,NORTE,3550
AZU,4,PA,NORTE,22010
AZU,4,MG,SUDESTE,125
AZU,4,MG,SUDESTE,25
AZU,4,MG,SUDESTE,481
AZU,4,DF,,
AZU,4,DF,SUDESTE,610
AZU,4,DF,CENTRO-OESTE,0
AZU,4,DF,SUDESTE,591
AZU,4,DF,SUDESTE,50235
AZU,4,DF,NORTE,3896
AZU,4,DF,SUDESTE,855
AZU,4,DF,SUDESTE,798
AZU,4,DF,SUDESTE,101346
AZU,4,DF,NORDESTE,44658
AZU,4,DF,SUDESTE,1856
AZU,4,DF,SUDESTE,30624
AZU,4,DF,SUDESTE,873
AZU,4,RR,NORTE,658
AZU,4,RR,NORTE,26320
AZU,4,PR,SUDESTE,20520
AZU,4,MG,NORDESTE,2424
AZU,4,MG,NORTE,62610
AZU,4,MG,SUDESTE,75
AZU,4,MG,CENTRO-OESTE,591
AZU,4,MG,CENTRO-OESTE,50826
AZU,4,MG,SUDESTE,0
AZU,4,MG,NORTE,27829
AZU,4,MG,SUL,1694
AZU,4,MG,CENTRO-OESTE,35360
AZU,4,MG,NORTE,2539
AZU,4,MG,SUL,1009
AZU,4,MG,NORDESTE,7432
AZU,4,MG,CENTRO-OESTE,647
AZU,4,MG,CENTRO-OESTE,38173
AZU,4,MG,SUDESTE,42742
AZU,4,MG,SUDESTE,224
AZU,4,MG,SUDESTE,6720
AZU,4,MG,NORDESTE,20972
AZU,4,MG,NORDESTE,17100
AZU,4,MG,NORDESTE,3390
AZU,4,MG,SUDESTE,78842
AZU,4,MG,SUDESTE,16250
AZU,4,MG,NORDESTE,7135
AZU,4,MG,NORDESTE,21945
AZU,4,MG,NORDESTE,165624
AZU,4,MG,SUDESTE,50250
AZU,4,MG,NORDESTE,3600
AZU,4,MG,NORDESTE,5400
AZU,4,MG,NORDESTE,81485
AZU,4,MG,SUDESTE,58164
AZU,4,MG,NORDESTE,84392
AZU,4,MG,SUDESTE,27694
AZU,4,MG,SUDESTE,9196
AZU,4,MG,NORDESTE,18510
AZU,4,MG,SUDESTE,37536
AZU,4,MG,SUDESTE,562
AZU,4,MG,NORDESTE,12690
AZU,4,MG,NORDESTE,7650
AZU,4,MS,SUDESTE,46368
AZU,4,SC,SUDESTE,721
AZU,4,SC,SUDESTE,20909
AZU,4,PA,NORTE,4968
AZU,4,PA,SUDESTE,27829
AZU,4,MS,SUDESTE,11800
AZU,4,PR,SUDESTE,2541
AZU,4,PR,SUL,14924
AZU,4,PR,SUDESTE,673
AZU,4,PR,SUDESTE,11129
AZU,4,PR,SUDESTE,698
AZU,4,PR,SUDESTE,698
AZU,4,PR,SUDESTE,52699
AZU,4,PR,SUL,534
AZU,4,PR,SUL,5340
AZU,4,PR,SUDESTE,20280
AZU,4,RS,SUDESTE,19950
AZU,4,MT,CENTRO-OESTE,7716
AZU,4,MT,SUDESTE,35360
AZU,4,MT,CENTRO-OESTE,0
AZU,4,MT,SUDESTE,66500
AZU,4,MT,SUDESTE,105995
AZU,4,MT,NORTE,34350
AZU,4,MT,CENTRO-OESTE,8883
AZU,4,AC,NORTE,7480
AZU,4,MS,CENTRO-OESTE,2790
AZU,4,MS,SUDESTE,
AZU,4,SP,SUDESTE,25593
AZU,4,MS,SUDESTE,805
AZU,4,MS,SUDESTE,20125
AZU,4,AM,,3344
AZU,4,AM,,3344
AZU,4,AM,,11008
AZU,4,AM,NORTE,5196
AZU,4,AM,NORTE,38970
AZU,4,AM,CENTRO-OESTE,1948
AZU,4,AM,CENTRO-OESTE,1948
AZU,4,AM,NORTE,658
AZU,4,AM,NORTE,25662
AZU,4,AM,SUDESTE,2539
AZU,4,AM,NORTE,0
AZU,4,AM,SUDESTE,70740
AZU,4,AM,SUDESTE,246280
AZU,4,AM,NORTE,19786
AZU,4,AM,NORTE,14976
AZU,4,AM,NORTE,520
AZU,4,AM,NORTE,8840
AZU,4,AM,NORTE,1105
AZU,4,AM,NORTE,20995
AZU,4,AM,,8035
AZU,4,PR,SUL,14924
AZU,4,PR,SUDESTE,23970
AZU,4,PR,SUL,587
AZU,4,SC,SUDESTE,1009
AZU,4,SC,SUDESTE,538
AZU,4,SC,SUDESTE,60256
AZU,4,SC,SUL,363
AZU,4,PE,NORDESTE,24705
AZU,4,CE,NORTE,31808
AZU,4,CE,SUDESTE,7432
AZU,4,CE,SUDESTE,2330
AZU,4,CE,SUDESTE,72230
AZU,4,CE,NORDESTE,627
AZU,4,CE,NORDESTE,68343
AZU,4,CE,NORDESTE,1016
AZU,4,RJ,,9433
AZU,4,RJ,,7942
AZU,4,RJ,SUDESTE,1194
AZU,4,RJ,SUDESTE,1194
AZU,4,RJ,SUDESTE,29850
AZU,4,RJ,SUDESTE,28
AZU,4,GO,SUDESTE,38820
AZU,4,GO,SUDESTE,742
AZU,4,GO,SUDESTE,82362
AZU,4,SP,,8035
AZU,4,SP,CENTRO-OESTE,855
AZU,4,SP,SUDESTE,41748
AZU,4,SP,SUL,10770
AZU,4,SP,CENTRO-OESTE,69160
AZU,4,SP,SUDESTE,337
AZU,4,SP,SUDESTE,0
AZU,4,SP,SUDESTE,747
AZU,4,SP,SUL,87466
AZU,4,SP,NORDESTE,292039
AZU,4,SP,,6400
AZU,4,MG,SUDESTE,224
AZU,4,MG,SUDESTE,224
AZU,4,MG,SUDESTE,6496
AZU,4,PA,NORTE,8892
AZU,4,BA,SUDESTE,22470
AZU,4,MA,NORTE,4275
AZU,4,MA,NORDESTE,
AZU,4,MA,NORDESTE,6305
AZU,4,SC,SUDESTE,8567
AZU,4,CE,SUDESTE,17100
AZU,4,CE,SUDESTE,
AZU,4,PB,SUDESTE,3390
AZU,4,PB,SUDESTE,10965
AZU,4,PB,NORDESTE,109
AZU,4,PB,NORDESTE,10791
AZU,4,CE,SUDESTE,52569
AZU,4,CE,NORDESTE,12250
AZU,4,SC,SUDESTE,12245
AZU,4,PB,NORDESTE,143
AZU,4,PB,NORDESTE,4290
AZU,4,SP,,77152
AZU,4,SP,,484888
AZU,4,SP,,382752
AZU,4,SP,,7928
AZU,4,SP,,47568
AZU,4,SP,,
AZU,4,SP,,6851
AZU,4,SP,SUDESTE,5720
AZU,4,SP,NORDESTE,1711
AZU,4,SP,SUDESTE,10322
AZU,4,SP,NORTE,4818
AZU,4,SP,NORTE,134904
AZU,4,SP,CENTRO-OESTE,798
AZU,4,SP,CENTRO-OESTE,101346
AZU,4,SP,SUL,21204
AZU,4,SP,SUDESTE,499
AZU,4,SP,SUDESTE,499
AZU,4,SP,SUDESTE,79341
AZU,4,SP,CENTRO-OESTE,46368
AZU,4,SP,SUL,20909
AZU,4,SP,CENTRO-OESTE,
AZU,4,SP,SUL,349
AZU,4,SP,SUL,53397
AZU,4,SP,SUL,19950
AZU,4,SP,CENTRO-OESTE,103501
AZU,4,SP,CENTRO-OESTE,9790
AZU,4,SP,SUDESTE,25144
AZU,4,SP,CENTRO-OESTE,20930
AZU,4,SP,NORTE,75980
AZU,4,SP,NORTE,214840
AZU,4,SP,SUL,23970
AZU,4,SP,SUL,60256
AZU,4,SP,NORDESTE,2330
AZU,4,SP,NORDESTE,74560
AZU,4,SP,SUDESTE,398
AZU,4,SP,SUDESTE,31044
AZU,4,SP,CENTRO-OESTE,742
AZU,4,SP,CENTRO-OESTE,82362
AZU,4,SP,SUDESTE,166
AZU,4,SP,SUL,8567
AZU,4,SP,NORDESTE,
AZU,4,SP,NORDESTE,10965
AZU,4,SP,NORDESTE,54516
AZU,4,SP,SUL,12245
AZU,4,SP,SUDESTE,0
AZU,4,SP,SUL,22605
AZU,4,SP,SUL,27555
AZU,4,SP,SUDESTE,8428
AZU,4,SP,NORDESTE,59706
AZU,4,SP,NORTE,
AZU,4,SP,SUL,39759
AZU,4,SP,SUL,874
AZU,4,SP,SUL,2622
AZU,4,SP,SUL,141588
AZU,4,SP,NORDESTE,
AZU,4,SP,NORTE,36920
AZU,4,SP,NORDESTE,31730
AZU,4,SP,NORDESTE,37910
AZU,4,SP,NORTE,64584
AZU,4,SP,CENTRO-OESTE,12804
AZU,4,SP,NORDESTE,237978
AZU,4,SP,SUDESTE,407
AZU,4,SP,SUDESTE,407
AZU,4,SP,SUDESTE,70818
AZU,4,SP,SUDESTE,18094
AZU,4,SP,NORDESTE,29835
AZU,4,SP,CENTRO-OESTE,1526
AZU,4,SP,SUDESTE,28730
AZU,4,SP,NORDESTE,157464
AZU,4,SP,NORDESTE,110592
AZU,4,SP,CENTRO-OESTE,6916
AZU,4,SP,SUDESTE,41536
AZU,4,SP,SUDESTE,90860
AZU,4,SP,SUDESTE,8800
AZU,4,SP,,13438
AZU,4,SP,CENTRO-OESTE,6990
AZU,4,PR,SUDESTE,22194
AZU,4,PA,NORTE,13021
AZU,4,PR,SUDESTE,1002
AZU,4,PR,SUDESTE,27054
AZU,4,PR,SUL,0
AZU,4,MG,SUDESTE,325
AZU,4,MG,SUDESTE,15925
AZU,4,SP,SUDESTE,8428
AZU,4,AL,SUDESTE,5708
AZU,4,AL,SUDESTE,59706
AZU,4,AL,NORDESTE,181
AZU,4,AL,NORDESTE,20996
AZU,4,AP,NORTE,
AZU,4,AP,NORTE,18095
AZU,4,AP,SUDESTE,
AZU,4,AP,NORTE,496
AZU,4,RN,NORDESTE,5076
AZU,4,SC,SUDESTE,39759
AZU,4,RS,SUL,348
AZU,4,RS,SUL,6960
AZU,4,RS,,8139
AZU,4,RS,,3976
AZU,4,RS,SUDESTE,1362
AZU,4,RS,SUL,534
AZU,4,RS,SUL,534
AZU,4,RS,SUL,4806
AZU,4,RS,SUL,587
AZU,4,RS,SUL,363
AZU,4,RS,SUDESTE,1122
AZU,4,RS,SUDESTE,87466
AZU,4,RS,SUDESTE,874
AZU,4,RS,SUDESTE,3496
AZU,4,RS,SUDESTE,140714
AZU,4,RS,SUL,348
AZU,4,RS,SUL,
AZU,4,RS,SUL,0
AZU,4,RS,SUL,5083
